,index,Player,Position,Base_Salary,Signing_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restruct_Bonus,Misc,Dead_Cap,Cap_Hit,Cap_Pct
82,86,BoykinTrevone Boykin,QB,"$122,400","$5,000",-,-,-,-,-,-,127400.0,0.08
83,87,HuntJoey Hunt,C,"$93,600","$25,089",-,-,-,-,-,-,118689.0,0.07
84,88,MarshCassius Marsh,OLB,-,"$117,563",-,-,-,-,-,-,117563.0,0.07
85,89,SwoopesTyrone Swoopes,TE,"$115,200",-,-,-,-,-,-,-,115200.0,0.07
86,90,MooreDavid Moore,WR,"$79,200","$21,841",-,-,-,-,-,-,101041.0,0.06
87,91,Pierre-LouisKevin Pierre-Louis,OLB,-,"$96,413",-,-,-,-,-,-,96413.0,0.06
88,92,CoeRodney Coe,DT,"$90,706",-,-,-,-,-,-,-,90706.0,0.05
89,93,SmithTye Smith,CB,-,"$83,126",-,-,-,-,-,-,83126.0,0.05
90,94,BassDavid Bass,DE,"$91,176",-,-,-,-,-,-,-,72353.0,0.04
91,95,DavisMike Davis,RB,"$72,000",-,-,-,-,-,-,-,72000.0,0.04
92,96,JeffersonQuinton Jefferson,DE,-,"$63,456",-,-,-,-,-,-,63456.0,0.04
93,97,LawlerKenny Lawler,WR,"$7,200","$48,673",-,-,-,-,-,-,55873.0,0.03
94,98,PalacioKache Palacio,OLB,"$48,953",-,-,-,-,-,-,-,48953.0,0.03
95,99,BrooksZac Brooks,RB,-,"$46,875",-,-,-,-,-,-,46875.0,0.03
96,100,CollinsAlex Collins,RB,-,"$46,096",-,-,-,-,-,-,46096.0,0.03
97,101,SokoliKristjan Sokoli,G,-,"$45,242",-,-,-,-,-,-,45242.0,0.03
98,102,JonesJoe Jones,OLB,"$43,200",-,-,-,-,-,-,-,43200.0,0.03
99,103,CromartieMarcus Cromartie,CB,"$40,588",-,-,-,-,-,-,-,40588.0,0.02
100,104,BeaversWillie Beavers,T,"$36,000",-,-,-,-,-,-,-,36000.0,0.02
101,105,GraysonCyril Grayson,WR,"$36,000",-,-,-,-,-,-,-,36000.0,0.02
102,106,MarchJustin March,ILB,"$31,765",-,-,-,-,-,-,-,31764.0,0.02
